t = 0.00000000e+00
       r                 z               t               u               u*              |u-u*|
  5.00000000e+00   5.00000000e+00  5.50000000e-01   5.09150625e+00  5.09150625e+00   0.00000000e+00

t = 6.00000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  6.00000000e-01   1.12960000e+00  1.12960000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  6.00000000e-01   1.12960000e+00  1.12960000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  6.00000000e-01   1.12960000e+00  1.12960000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  6.00000000e-01   3.12960000e+00  3.12960000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  6.00000000e-01   3.13026406e+00  3.12960000e+00   6.64062486e-04
  5.00000000e+00   3.00000000e+00  6.00000000e-01   3.12960000e+00  3.12960000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  6.00000000e-01   5.12960000e+00  5.12960000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  6.00000000e-01   5.12960000e+00  5.12960000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  6.00000000e-01   5.12960000e+00  5.12960000e+00   0.00000000e+00

t = 6.50000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  6.50000000e-01   1.17850625e+00  1.17850625e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  6.50000000e-01   1.17850625e+00  1.17850625e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  6.50000000e-01   1.17850625e+00  1.17850625e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  6.50000000e-01   3.17850625e+00  3.17850625e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  6.50000000e-01   3.17923281e+00  3.17850625e+00   7.26562126e-04
  5.00000000e+00   3.00000000e+00  6.50000000e-01   3.17850625e+00  3.17850625e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  6.50000000e-01   5.17850625e+00  5.17850625e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  6.50000000e-01   5.17850625e+00  5.17850625e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  6.50000000e-01   5.17850625e+00  5.17850625e+00   0.00000000e+00

t = 7.00000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  7.00000000e-01   1.24010000e+00  1.24010000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  7.00000000e-01   1.24010000e+00  1.24010000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  7.00000000e-01   1.24010000e+00  1.24010000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  7.00000000e-01   3.24010000e+00  3.24010000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  7.00000000e-01   3.24088906e+00  3.24010000e+00   7.89062261e-04
